name,launch date,source,intended usage,tdp (W),cores,threads,normalized_name
amd athlon mp 1600,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1600dms3c,Server,62.8,1,1.0,amd athlon mp 1600
amd athlon mp 1800,2001-10-15,https://en.wikichip.org/wiki/amd/athlon_mp/amp1800dms3c,Server,66.0,1,1.0,amd athlon mp 1800
amd athlon mp 1900,2001-12-12,https://en.wikichip.org/wiki/amd/athlon_mp/amp1900dms3c,Server,66.0,1,1.0,amd athlon mp 1900
amd athlon mp 2000,2002-03-13,https://en.wikichip.org/wiki/amd/athlon_mp/amp2000dms3c,Server,66.0,1,1.0,amd athlon mp 2000
amd athlon mp 2100,2002-06-19,https://en.wikichip.org/wiki/amd/athlon_mp/amp2100dms3c,Server,66.0,1,1.0,amd athlon mp 2100
amd athlon mp 2200,2002-08-27,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2200dkt3c,Server,60.0,1,1.0,amd athlon mp 2200
amd athlon mp 2400,2002-12-10,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2400dkt3c,Server,60.0,1,1.0,amd athlon mp 2400
amd athlon mp 2600,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2600dut4c,Server,60.0,1,1.0,amd athlon mp 2600
amd athlon mp 2800,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2800dut4c,Server,60.0,1,1.0,amd athlon mp 2800
amd athlon pro 300u,2019-04-08,https://en.wikichip.org/wiki/amd/athlon/pro_300u,Mobile,15.0,2,4.0,amd athlon pro 300u
amd athlon xp-m 1000,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1000gts3b,Mobile,16.0,1,1.0,amd athlon xp-m 1000
amd athlon xp-m 1200,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1200gts3b,Mobile,16.0,1,1.0,amd athlon xp-m 1200
amd athlon xp-m 1300,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1300gcs3b,Mobile,16.0,1,1.0,amd athlon xp-m 1300
amd athlon xp-m 1400,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1400gws3c,Mobile,25.0,1,1.0,amd athlon xp-m 1400
amd athlon xp-m 1500,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1500gxs3b,Mobile,25.0,1,1.0,amd athlon xp-m 1500
amd athlon xp-m 1600,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1600gxs3c,Mobile,25.0,1,1.0,amd athlon xp-m 1600
amd athlon xp-m 1700,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1700gxs3c,Mobile,25.0,1,1.0,amd athlon xp-m 1700
amd athlon xp-m 1800,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1800gxs4c,Mobile,25.0,1,1.0,amd athlon xp-m 1800
amd athlon xp-m 1900,2003-06-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd1900gjq3c,Mobile,35.0,1,1.0,amd athlon xp-m 1900
amd athlon xp-m 2000,2003-06-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2000gjq3c,Mobile,35.0,1,1.0,amd athlon xp-m 2000
amd athlon xp-m 2100,2004-03-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms2100gxs4b,Mobile,25.0,1,1.0,amd athlon xp-m 2100
amd athlon xp-m 2200,2004-07-19,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2200gjq4c,Mobile,35.0,1,1.0,amd athlon xp-m 2200
amd athlon xp-m 2400,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2400gjq4c,Mobile,35.0,1,1.0,amd athlon xp-m 2400
amd athlon xp-m 2600,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2600gjq4d,Mobile,35.0,1,1.0,amd athlon xp-m 2600
amd athlon xp-m 950,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml0950gts3b,Mobile,16.0,1,1.0,amd athlon xp-m 950
intel atom 230,2008-06-03,https://en.wikichip.org/wiki/intel/atom/230,Mobile,4.0,1,2.0,intel atom 230
intel atom 330,2008-09-21,https://en.wikichip.org/wiki/intel/atom/330,Mobile,8.0,2,4.0,intel atom 330
intel atom n270,2008-06-03,https://en.wikichip.org/wiki/intel/atom/n270,Mobile,2.5,1,2.0,intel atom n270
intel atom n280,2009-02-07,https://en.wikichip.org/wiki/intel/atom/n280,Mobile,2.5,1,2.0,intel atom n280
intel atom z500,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z500,Mobile,0.65,1,2.0,intel atom z500
intel atom z510,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z510,Mobile,2.0,1,1.0,intel atom z510
intel atom z510p,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z510p,Mobile,2.0,1,2.0,intel atom z510p
intel atom z510pt,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z510pt,Mobile,2.0,1,2.0,intel atom z510pt
intel atom z515,2009-04-08,https://en.wikichip.org/wiki/intel/atom/z515,Mobile,0.65,1,2.0,intel atom z515
intel atom z520,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z520,Mobile,2.0,1,2.0,intel atom z520
intel atom z520pt,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z520pt,Mobile,2.0,1,2.0,intel atom z520pt
intel atom z530,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z530,Mobile,2.2,1,2.0,intel atom z530
intel atom z530p,2009-03-02,https://en.wikichip.org/wiki/intel/atom/z530p,Mobile,2.0,1,2.0,intel atom z530p
intel atom z540,2008-04-02,https://en.wikichip.org/wiki/intel/atom/z540,Mobile,2.4,1,2.0,intel atom z540
intel atom z550,2009-04-08,https://en.wikichip.org/wiki/intel/atom/z550,Mobile,2.4,1,2.0,intel atom z550
intel atom z560,2010-06-01,https://en.wikichip.org/wiki/intel/atom/z560,Mobile,2.5,1,2.0,intel atom z560
intel atom z600,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z600,Mobile,1.3,1,2.0,intel atom z600
intel atom z605,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z605,Mobile,2.2,1,2.0,intel atom z605
intel atom z610,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z610,Mobile,1.3,1,2.0,intel atom z610
intel atom z612,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z612,Mobile,1.3,1,2.0,intel atom z612
intel atom z615,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z615,Mobile,2.2,1,2.0,intel atom z615
intel atom z620,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z620,Mobile,1.3,1,2.0,intel atom z620
intel atom z625,2010-05-04,https://en.wikichip.org/wiki/intel/atom/z625,Mobile,2.2,1,2.0,intel atom z625
intel atom z650,2011-04-11,https://en.wikichip.org/wiki/intel/atom/z650,Mobile,3.0,1,2.0,intel atom z650
intel atom z670,2011-04-11,https://en.wikichip.org/wiki/intel/atom/z670,Mobile,3.0,1,2.0,intel atom z670
baikal electronics baikal-t1,2016-02-01,https://en.wikichip.org/wiki/baikal/baikal-t1,Embedded,5.0,2,2.0,baikal electronics baikal-t1
intel celeron 787,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/787,Mobile,17.0,1,1.0,intel celeron 787
intel celeron 797,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/797,Mobile,17.0,1,1.0,intel celeron 797
intel celeron 807,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/807,Mobile,17.0,1,2.0,intel celeron 807
intel celeron 807ue,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/807ue,Embedded,10.0,1,1.0,intel celeron 807ue
intel celeron 817,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/817,Mobile,17.0,2,2.0,intel celeron 817
intel celeron 827,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/827,Mobile,17.0,1,1.0,intel celeron 827
intel celeron 827e,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/827e,Embedded,17.0,1,1.0,intel celeron 827e
intel celeron 837,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/837,Mobile,17.0,2,2.0,intel celeron 837
intel celeron 847,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/847,Mobile,17.0,2,2.0,intel celeron 847
intel celeron 847e,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/847e,Embedded,17.0,2,2.0,intel celeron 847e
intel celeron 857,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/857,Mobile,17.0,2,2.0,intel celeron 857
intel celeron 867,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/867,Mobile,17.0,2,2.0,intel celeron 867
intel celeron 877,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/877,Mobile,17.0,2,2.0,intel celeron 877
intel celeron 887,2012-09-01,https://en.wikichip.org/wiki/intel/celeron/887,Mobile,17.0,2,2.0,intel celeron 887
intel celeron 887e,2012-09-01,https://en.wikichip.org/wiki/intel/celeron/887e,Embedded,17.0,2,2.0,intel celeron 887e
intel celeron 897,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/897,Mobile,17.0,2,2.0,intel celeron 897
intel celeron b710,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b710,Mobile,35.0,1,1.0,intel celeron b710
intel celeron b720,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b720,Mobile,35.0,1,1.0,intel celeron b720
intel celeron b730,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/b730,Mobile,35.0,1,2.0,intel celeron b730
intel celeron b800,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b800,Mobile,35.0,2,2.0,intel celeron b800
intel celeron b810,2011-03-14,https://en.wikichip.org/wiki/intel/celeron/b810,Mobile,35.0,2,2.0,intel celeron b810
intel celeron b810e,2011-06-01,https://en.wikichip.org/wiki/intel/celeron/b810e,Embedded,35.0,2,2.0,intel celeron b810e
intel celeron b815,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b815,Mobile,35.0,2,2.0,intel celeron b815
intel celeron b820,2012-07-01,https://en.wikichip.org/wiki/intel/celeron/b820,Mobile,35.0,2,2.0,intel celeron b820
intel celeron b830,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/b830,Mobile,35.0,2,2.0,intel celeron b830
intel celeron b840,2011-07-01,https://en.wikichip.org/wiki/intel/celeron/b840,Mobile,35.0,2,2.0,intel celeron b840
intel celeron b860e,2012-01-01,https://en.wikichip.org/wiki/intel/celeron/b860e,Embedded,35.0,2,2.0,intel celeron b860e
intel celeron p4500,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4500,Mobile; Embedded,35.0,2,2.0,intel celeron p4500
intel celeron p4505,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4505,Mobile; Embedded,35.0,2,2.0,intel celeron p4505
intel celeron p4600,2010-03-28,https://en.wikichip.org/wiki/intel/celeron/p4600,Mobile,35.0,2,2.0,intel celeron p4600
intel celeron u3400,2010-05-24,https://en.wikichip.org/wiki/intel/celeron/u3400,Mobile,18.0,2,2.0,intel celeron u3400
intel celeron u3405,2010-08-15,https://en.wikichip.org/wiki/intel/celeron/u3405,Mobile; Embedded,18.0,2,2.0,intel celeron u3405
intel celeron u3600,2011-01-11,https://en.wikichip.org/wiki/intel/celeron/u3600,Mobile,18.0,2,2.0,intel celeron u3600
intel core i3-1000g1,2019-08-01,https://en.wikichip.org/wiki/intel/core_i3/i3-1000g1,Mobile,9.0,2,4.0,intel core i3-1000g1
intel core i3-1000g4,2019-08-01,https://en.wikichip.org/wiki/intel/core_i3/i3-1000g4,Mobile,9.0,2,4.0,intel core i3-1000g4
intel core i3-2308m,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2308m,Mobile,35.0,2,4.0,intel core i3-2308m
intel core i3-2310e,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2310e,Embedded,35.0,2,4.0,intel core i3-2310e
intel core i3-2310m,2011-02-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2310m,Mobile,35.0,2,4.0,intel core i3-2310m
intel core i3-2312m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2312m,Mobile,35.0,2,4.0,intel core i3-2312m
intel core i3-2328m,2012-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2328m,Mobile,35.0,2,4.0,intel core i3-2328m
intel core i3-2330e,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2330e,Embedded,35.0,2,4.0,intel core i3-2330e
intel core i3-2330m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2330m,Mobile,35.0,2,4.0,intel core i3-2330m
intel core i3-2332m,2011-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2332m,Mobile,35.0,2,4.0,intel core i3-2332m
intel core i3-2340ue,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2340ue,Embedded,17.0,2,4.0,intel core i3-2340ue
intel core i3-2348m,2013-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2348m,Mobile,35.0,2,4.0,intel core i3-2348m
intel core i3-2350lm,2011-10-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2350lm,Mobile,17.0,2,4.0,intel core i3-2350lm
intel core i3-2350m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2350m,Mobile,35.0,2,4.0,intel core i3-2350m
intel core i3-2355m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2355m,Mobile,17.0,2,4.0,intel core i3-2355m
intel core i3-2357m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2357m,Mobile,17.0,2,4.0,intel core i3-2357m
intel core i3-2365m,2012-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2365m,Mobile,17.0,2,4.0,intel core i3-2365m
intel core i3-2367m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2367m,Mobile,17.0,2,4.0,intel core i3-2367m
intel core i3-2370lm,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2370lm,Mobile,17.0,2,4.0,intel core i3-2370lm
intel core i3-2370m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2370m,Mobile,35.0,2,4.0,intel core i3-2370m
intel core i3-2375m,2013-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2375m,Mobile,17.0,2,4.0,intel core i3-2375m
intel core i3-2377m,2012-09-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2377m,Mobile,17.0,2,4.0,intel core i3-2377m
intel core i3-2390m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2390m,Mobile,35.0,2,4.0,intel core i3-2390m
intel core i3-2393m,2011-08-14,https://en.wikichip.org/wiki/intel/core_i3/i3-2393m,Mobile,35.0,2,4.0,intel core i3-2393m
intel core i3-2394m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2394m,Mobile,35.0,2,4.0,intel core i3-2394m
intel core i3-2395m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2395m,Mobile,35.0,2,4.0,intel core i3-2395m
intel core i3-2397m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-2397m,Mobile,17.0,2,4.0,intel core i3-2397m
intel core i3-330e,2010-01-07,https://en.wikichip.org/wiki/intel/core_i3/i3-330e,Mobile; Embedded,35.0,2,4.0,intel core i3-330e
intel core i3-330m,2010-01-07,https://en.wikichip.org/wiki/intel/core_i3/i3-330m,Mobile,35.0,2,4.0,intel core i3-330m
intel core i3-330um,2010-05-24,https://en.wikichip.org/wiki/intel/core_i3/i3-330um,Mobile,18.0,2,4.0,intel core i3-330um
intel core i3-350m,2010-01-07,https://en.wikichip.org/wiki/intel/core_i3/i3-350m,Mobile,35.0,2,4.0,intel core i3-350m
intel core i3-370m,2010-06-22,https://en.wikichip.org/wiki/intel/core_i3/i3-370m,Mobile,35.0,2,4.0,intel core i3-370m
intel core i3-380m,2010-09-26,https://en.wikichip.org/wiki/intel/core_i3/i3-380m,Mobile,35.0,2,4.0,intel core i3-380m
intel core i3-380um,2010-10-01,https://en.wikichip.org/wiki/intel/core_i3/i3-380um,Mobile,18.0,2,4.0,intel core i3-380um
intel core i3-390m,2011-01-11,https://en.wikichip.org/wiki/intel/core_i3/i3-390m,Mobile,35.0,2,4.0,intel core i3-390m
intel core i3-6120t,,https://en.wikichip.org/wiki/intel/core_i3/6120t,Desktop,35.0,2,4.0,intel core i3-6120t
intel core i3-6320t,,https://en.wikichip.org/wiki/intel/core_i3/6320t,Desktop,35.0,2,4.0,intel core i3-6320t
intel core i3-7007u,,https://en.wikichip.org/wiki/intel/core_i3/i3-7007u,Mobile; Embedded,15.0,2,4.0,intel core i3-7007u
intel core i3-7110u,,https://en.wikichip.org/wiki/intel/core_i3/i3-7110u,Mobile; Embedded,15.0,2,4.0,intel core i3-7110u
intel core i3-7120,,https://en.wikichip.org/wiki/intel/core_i3/i3-7120,Desktop,51.0,2,4.0,intel core i3-7120
intel core i3-7120t,,https://en.wikichip.org/wiki/intel/core_i3/i3-7120t,Desktop,35.0,2,4.0,intel core i3-7120t
intel core i3-7310t,2017-01-01,https://en.wikichip.org/wiki/intel/core_i3/i3-7310t,Desktop,35.0,2,4.0,intel core i3-7310t
intel core i3-7310u,,https://en.wikichip.org/wiki/intel/core_i3/i3-7310u,Mobile,15.0,2,4.0,intel core i3-7310u
intel core i3-7320t,,https://en.wikichip.org/wiki/intel/core_i3/i3-7320t,Desktop,35.0,2,4.0,intel core i3-7320t
intel core i3-7340,,https://en.wikichip.org/wiki/intel/core_i3/i3-7340,Desktop,51.0,2,4.0,intel core i3-7340
intel core i3-8000,2018-03-01,https://en.wikichip.org/wiki/intel/core_i3/i3-8000,Desktop,65.0,4,4.0,intel core i3-8000
intel core i3-8000t,2018-03-01,https://en.wikichip.org/wiki/intel/core_i3/i3-8000t,Desktop,35.0,4,4.0,intel core i3-8000t
intel core i3-8020,,https://en.wikichip.org/wiki/intel/core_i3/i3-8020,Desktop,51.0,4,4.0,intel core i3-8020
intel core i3-8020t,,https://en.wikichip.org/wiki/intel/core_i3/i3-8020t,Desktop,35.0,4,4.0,intel core i3-8020t
intel core i3-8100f,2019-01-07,https://en.wikichip.org/wiki/intel/core_i3/i3-8100f,Desktop,65.0,4,4.0,intel core i3-8100f
intel core i3-8120,,https://en.wikichip.org/wiki/intel/core_i3/i3-8120,Desktop,51.0,4,4.0,intel core i3-8120
intel core i3-8120t,,https://en.wikichip.org/wiki/intel/core_i3/i3-8120t,Desktop,35.0,4,4.0,intel core i3-8120t
intel core i3-8121u,2018-05-15,https://en.wikichip.org/wiki/intel/core_i3/i3-8121u,Mobile,15.0,2,4.0,intel core i3-8121u
intel core i3-8320,,https://en.wikichip.org/wiki/intel/core_i3/i3-8320,Desktop,51.0,4,4.0,intel core i3-8320
intel core i3-8320t,,https://en.wikichip.org/wiki/intel/core_i3/i3-8320t,Desktop,35.0,4,4.0,intel core i3-8320t
intel core i3-9000,,https://en.wikichip.org/wiki/intel/core_i3/i3-9000,Desktop,65.0,4,4.0,intel core i3-9000
intel core i3-9000t,,https://en.wikichip.org/wiki/intel/core_i3/i3-9000t,Desktop,35.0,4,4.0,intel core i3-9000t
intel core i5-1030g4,2019-08-01,https://en.wikichip.org/wiki/intel/core_i5/i5-1030g4,Mobile,9.0,4,8.0,intel core i5-1030g4
intel core i5-1030g7,2019-08-01,https://en.wikichip.org/wiki/intel/core_i5/i5-1030g7,Mobile,9.0,4,8.0,intel core i5-1030g7
intel core i5-2410m,2011-02-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2410m,Mobile,35.0,2,4.0,intel core i5-2410m
intel core i5-2415m,2011-02-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2415m,Mobile,35.0,2,4.0,intel core i5-2415m
intel core i5-2430m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2430m,Mobile,35.0,2,4.0,intel core i5-2430m
intel core i5-2435m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2435m,Mobile,35.0,2,4.0,intel core i5-2435m
intel core i5-2450m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2450m,Mobile,35.0,2,4.0,intel core i5-2450m
intel core i5-2467m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2467m,Mobile,17.0,2,4.0,intel core i5-2467m
intel core i5-2475m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2475m,Mobile,35.0,2,4.0,intel core i5-2475m
intel core i5-2477m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2477m,Mobile,35.0,2,4.0,intel core i5-2477m
intel core i5-2487m,2012-01-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2487m,Mobile,35.0,2,4.0,intel core i5-2487m
intel core i5-2490m,2011-10-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2490m,Mobile,35.0,2,4.0,intel core i5-2490m
intel core i5-2497m,2011-06-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2497m,Mobile,35.0,2,4.0,intel core i5-2497m
intel core i5-2510e,2011-02-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2510e,Embedded,35.0,2,4.0,intel core i5-2510e
intel core i5-2515e,2011-02-01,https://en.wikichip.org/wiki/intel/core_i5/i5-2515e,Embedded,35.0,2,4.0,intel core i5-2515e
