name,launch date,source,tdp (W),cores,threads
Athlon MP 2000+  - AMD,2002-03-13,https://en.wikichip.org/wiki/amd/athlon_mp/amp2000dms3c,66.0,1,1.0
Athlon MP 2000+  - AMD,2002-08-27,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2000dut3c,58.2,1,1.0
Athlon MP 2100+  - AMD,2002-06-19,https://en.wikichip.org/wiki/amd/athlon_mp/amp2100dms3c,66.0,1,1.0
Athlon MP 2200+  - AMD,2002-08-27,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2200dkt3c,60.0,1,1.0
Athlon MP 2400+  - AMD,2002-12-10,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2400dkt3c,60.0,1,1.0
Athlon MP 2600+  - AMD,2003-02-04,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2600dkt3c,60.0,1,1.0
Athlon MP 2600+  - AMD,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2600dut4c,60.0,1,1.0
Athlon MP 2800+  - AMD,2003-05-06,https://en.wikichip.org/wiki/amd/athlon_mp/amsn2800dut4c,60.0,1,1.0
Athlon PRO 200GE  - AMD,2018-09-06,https://en.wikichip.org/wiki/amd/athlon/pro_200ge,35.0,2,4.0
Athlon PRO 300GE  - AMD,2019-09-30,https://en.wikichip.org/wiki/amd/athlon/pro_300ge,35.0,2,4.0
Athlon PRO 300U  - AMD,2019-04-08,https://en.wikichip.org/wiki/amd/athlon/pro_300u,15.0,2,4.0
Athlon Silver 3050U  - AMD,2020-01-06,https://en.wikichip.org/wiki/amd/athlon_silver/3050u,15.0,2,2.0
Athlon XP-M 1000  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1000gts3b,16.0,1,1.0
Athlon XP-M 1200+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1200gts3b,16.0,1,1.0
Athlon XP-M 1300+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1300gcs3b,16.0,1,1.0
Athlon XP-M 1300+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1300gys3b,16.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1400gws3c,25.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1400gxs3b,25.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1400gxs3c,25.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1400gys3b,16.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1400gys3c,16.0,1,1.0
Athlon XP-M 1400+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1400gws3b,25.0,1,1.0
Athlon XP-M 1500+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1500gxs3b,25.0,1,1.0
Athlon XP-M 1500+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1500gxs3c,25.0,1,1.0
Athlon XP-M 1500+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml1500gys3b,16.0,1,1.0
Athlon XP-M 1500+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1500gws3b,25.0,1,1.0
Athlon XP-M 1500+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1500gws3c,25.0,1,1.0
Athlon XP-M 1600+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1600gxs3b,25.0,1,1.0
Athlon XP-M 1600+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1600gxs3c,25.0,1,1.0
Athlon XP-M 1600+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1600gws3b,25.0,1,1.0
Athlon XP-M 1600+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1600gws3c,25.0,1,1.0
Athlon XP-M 1700+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1700gxs3c,25.0,1,1.0
Athlon XP-M 1800+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1800gxs3c,25.0,1,1.0
Athlon XP-M 1800+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1800gxs4c,25.0,1,1.0
Athlon XP-M 1800+  - AMD,2003-03-12,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd1800gjq3c,35.0,1,1.0
Athlon XP-M 1800+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd1800gjq4c,35.0,1,1.0
Athlon XP-M 1900+  - AMD,2003-06-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd1900gjq3c,35.0,1,1.0
Athlon XP-M 1900+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms1900gxs4c,25.0,1,1.0
Athlon XP-M 2000+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2000gjq4c,35.0,1,1.0
Athlon XP-M 2000+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms2000gxs4c,25.0,1,1.0
Athlon XP-M 2000+  - AMD,2003-06-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2000gjq3c,35.0,1,1.0
Athlon XP-M 2100+  - AMD,2004-03-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms2100gxs4b,25.0,1,1.0
Athlon XP-M 2100+  - AMD,2004-03-17,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms2100gxs4c,25.0,1,1.0
Athlon XP-M 2200+  - AMD,2004-07-19,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmt2200gws4c,27.0,1,1.0
Athlon XP-M 2200+  - AMD,2004-07-19,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2200gjq4c,35.0,1,1.0
Athlon XP-M 2200+  - AMD,2004-07-19,https://en.wikichip.org/wiki/amd/athlon_xp-m/axms2200gws4c,25.0,1,1.0
Athlon XP-M 2400+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2400gjq4c,35.0,1,1.0
Athlon XP-M 2600+  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axmd2600gjq4d,35.0,1,1.0
Athlon XP-M 950  - AMD,,https://en.wikichip.org/wiki/amd/athlon_xp-m/axml0950gts3b,16.0,1,1.0
Atom 230  - Intel,2008-06-03,https://en.wikichip.org/wiki/intel/atom/230,4.0,1,2.0
Atom 330  - Intel,2008-09-21,https://en.wikichip.org/wiki/intel/atom/330,8.0,2,4.0
Atom C3308  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3308,9.5,2,2.0
Atom C3338  - Intel,2017-02-22,https://en.wikichip.org/wiki/intel/atom/c3338,9.0,2,2.0
Atom C3508  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3508,11.25,4,4.0
Atom C3538  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3538,15.0,4,4.0
Atom C3558  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3558,16.0,4,4.0
Atom C3708  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3708,17.0,8,8.0
Atom C3750  - Intel,2017-08-15,https://en.wikichip.org/wiki/intel/atom/c3750,21.0,8,8.0
