normalized_name,name_wikichip,name_external,tdp (W)_wikichip,tdp (W)_external,TDP_differs,cores_wikichip,cores_external,Cores_differs
intel celeron n3010,intel celeron n3010,Intel® Celeron® Processor N3010,4.0,4.0,False,2,2,False
intel celeron n3050,intel celeron n3050,Intel® Celeron® Processor N3050,6.0,6.0,False,2,2,False
intel celeron n3060,intel celeron n3060,Intel® Celeron® Processor N3060,6.0,6.0,False,2,2,False
intel celeron n3150,intel celeron n3150,Intel® Celeron® Processor N3150,6.0,6.0,False,4,4,False
intel celeron n3160,intel celeron n3160,Intel® Celeron® Processor N3160,4.0,6.0,True,4,4,False
intel celeron n3350,intel celeron n3350,Intel® Celeron® Processor N3350,6.0,6.0,False,2,2,False
intel celeron n3450,intel celeron n3450,Intel® Celeron® Processor N3450,6.0,6.0,False,4,4,False
intel celeron n4000,intel celeron n4000,Intel® Celeron® Processor N4000,6.0,6.0,False,2,2,False
intel celeron n4100,intel celeron n4100,Intel® Celeron® Processor N4100,6.0,6.0,False,4,4,False
intel core i3-1005g1,intel core i3-1005g1,Intel® Core™ i3-1005G1 Processor,15.0,15.0,False,2,2,False
intel core i3-6006u,intel core i3-6006u,Intel® Core™ i3-6006U Processor,15.0,15.0,False,2,2,False
intel core i3-6098p,intel core i3-6098p,Intel® Core™ i3-6098P Processor,54.0,54.0,False,2,2,False
intel core i3-6100,intel core i3-6100,Intel® Core™ i3-6100 Processor,51.0,51.0,False,2,2,False
intel core i3-6100e,intel core i3-6100e,Intel® Core™ i3-6100E Processor,35.0,35.0,False,2,2,False
intel core i3-6100h,intel core i3-6100h,Intel® Core™ i3-6100H Processor,35.0,35.0,False,2,2,False
intel core i3-6100t,intel core i3-6100t,Intel® Core™ i3-6100T Processor,35.0,35.0,False,2,2,False
intel core i3-6100te,intel core i3-6100te,Intel® Core™ i3-6100TE Processor,35.0,35.0,False,2,2,False
intel core i3-6100u,intel core i3-6100u,Intel® Core™ i3-6100U Processor,15.0,15.0,False,2,2,False
intel core i3-6102e,intel core i3-6102e,Intel® Core™ i3-6102E Processor,25.0,25.0,False,2,2,False
intel core i3-6157u,intel core i3-6157u,Intel® Core™ i3-6157U Processor,28.0,28.0,False,2,2,False
intel core i3-6167u,intel core i3-6167u,Intel® Core™ i3-6167U Processor,28.0,28.0,False,2,2,False
intel core i3-6300,intel core i3-6300,Intel® Core™ i3-6300 Processor,51.0,51.0,False,2,2,False
intel core i3-6300t,intel core i3-6300t,Intel® Core™ i3-6300T Processor,35.0,35.0,False,2,2,False
intel core i3-6320,intel core i3-6320,Intel® Core™ i3-6320 Processor,51.0,51.0,False,2,2,False
intel core i3-7020u,intel core i3-7020u,Intel® Core™ i3-7020U Processor,15.0,15.0,False,2,2,False
intel core i3-7100,intel core i3-7100,Intel® Core™ i3-7100 Processor,51.0,51.0,False,2,2,False
intel core i3-7100e,intel core i3-7100e,Intel® Core™ i3-7100E Processor,35.0,35.0,False,2,2,False
intel core i3-7100h,intel core i3-7100h,Intel® Core™ i3-7100H Processor,35.0,35.0,False,2,2,False
intel core i3-7100t,intel core i3-7100t,Intel® Core™ i3-7100T Processor,35.0,35.0,False,2,2,False
intel core i3-7100u,intel core i3-7100u,Intel® Core™ i3-7100U Processor,15.0,15.0,False,2,2,False
intel core i3-7101e,intel core i3-7101e,Intel® Core™ i3-7101E Processor,54.0,54.0,False,2,2,False
intel core i3-7101te,intel core i3-7101te,Intel® Core™ i3-7101TE Processor,35.0,35.0,False,2,2,False
intel core i3-7102e,intel core i3-7102e,Intel® Core™ i3-7102E Processor,25.0,25.0,False,2,2,False
intel core i3-7130u,intel core i3-7130u,Intel® Core™ i3-7130U Processor,15.0,15.0,False,2,2,False
intel core i3-7167u,intel core i3-7167u,Intel® Core™ i3-7167U Processor,28.0,28.0,False,2,2,False
intel core i3-7300,intel core i3-7300,Intel® Core™ i3-7300 Processor,51.0,51.0,False,2,2,False
intel core i3-7300t,intel core i3-7300t,Intel® Core™ i3-7300T Processor,35.0,35.0,False,2,2,False
intel core i3-7320,intel core i3-7320,Intel® Core™ i3-7320 Processor,51.0,51.0,False,2,2,False
intel core i3-7350k,intel core i3-7350k,Intel® Core™ i3-7350K Processor,60.0,60.0,False,2,2,False
intel core i3-8100,intel core i3-8100,Intel® Core™ i3-8100 Processor,65.0,65.0,False,4,4,False
intel core i3-8100h,intel core i3-8100h,Intel® Core™ i3-8100H Processor,45.0,45.0,False,4,4,False
intel core i3-8100t,intel core i3-8100t,Intel® Core™ i3-8100T Processor,35.0,35.0,False,4,4,False
intel core i3-8109u,intel core i3-8109u,Intel® Core™ i3-8109U Processor,28.0,28.0,False,2,2,False
intel core i3-8130u,intel core i3-8130u,Intel® Core™ i3-8130U Processor,15.0,15.0,False,2,2,False
intel core i3-8145u,intel core i3-8145u,Intel® Core™ i3-8145U Processor,15.0,15.0,False,2,2,False
intel core i3-8300,intel core i3-8300,Intel® Core™ i3-8300 Processor,62.0,62.0,False,4,4,False
intel core i3-8300t,intel core i3-8300t,Intel® Core™ i3-8300T Processor,35.0,35.0,False,4,4,False
intel core i3-8350k,intel core i3-8350k,Intel® Core™ i3-8350K Processor,91.0,91.0,False,4,4,False
intel core i3-9100,intel core i3-9100,Intel® Core™ i3-9100 Processor,65.0,65.0,False,4,4,False
intel core i3-9100f,intel core i3-9100f,Intel® Core™ i3-9100F Processor,65.0,65.0,False,4,4,False
intel core i3-9100t,intel core i3-9100t,Intel® Core™ i3-9100T Processor,35.0,35.0,False,4,4,False
intel core i3-9300,intel core i3-9300,Intel® Core™ i3-9300 Processor,62.0,62.0,False,4,4,False
intel core i3-9300t,intel core i3-9300t,Intel® Core™ i3-9300T Processor,35.0,35.0,False,4,4,False
intel core i3-9350kf,intel core i3-9350kf,Intel® Core™ i3-9350KF Processor,91.0,91.0,False,4,4,False
intel core i5-1035g1,intel core i5-1035g1,Intel® Core™ i5-1035G1 Processor,15.0,15.0,False,4,4,False
intel core i5-1035g4,intel core i5-1035g4,Intel® Core™ i5-1035G4 Processor,15.0,15.0,False,4,4,False
intel core i5-1035g7,intel core i5-1035g7,Intel® Core™ i5-1035G7 Processor,15.0,15.0,False,4,4,False
intel core i5-12600k,intel core i5-12600k,Intel® Core™ i5-12600K Processor,125.0,125.0,False,10,10,False
intel core i5-12600kf,intel core i5-12600kf,Intel® Core™ i5-12600KF Processor,125.0,125.0,False,10,10,False
intel core i5-13600k,intel core i5-13600k,Intel® Core™ i5-13600K Processor,125.0,125.0,False,14,14,False
intel core i5-13600kf,intel core i5-13600kf,Intel® Core™ i5-13600KF Processor,125.0,125.0,False,14,14,False
intel core i5-4570r,intel core i5-4570r,Intel® Core™ i5-4570R Processor,65.0,65.0,False,4,4,False
intel core i5-4670r,intel core i5-4670r,Intel® Core™ i5-4670R Processor,65.0,65.0,False,4,4,False
intel core i5-5350h,intel core i5-5350h,Intel® Core™ i5-5350H Processor,47.0,47.0,False,2,2,False
intel core i5-5575r,intel core i5-5575r,Intel® Core™ i5-5575R Processor,65.0,65.0,False,4,4,False
intel core i5-5675c,intel core i5-5675c,Intel® Core™ i5-5675C Processor,65.0,65.0,False,4,4,False
intel core i5-5675r,intel core i5-5675r,Intel® Core™ i5-5675R Processor,65.0,65.0,False,4,4,False
intel core i5-6200u,intel core i5-6200u,Intel® Core™ i5-6200U Processor,15.0,15.0,False,2,2,False
intel core i5-6260u,intel core i5-6260u,Intel® Core™ i5-6260U Processor,15.0,15.0,False,2,2,False
intel core i5-6267u,intel core i5-6267u,Intel® Core™ i5-6267U Processor,28.0,28.0,False,2,2,False
intel core i5-6287u,intel core i5-6287u,Intel® Core™ i5-6287U Processor,28.0,28.0,False,2,2,False
intel core i5-6300hq,intel core i5-6300hq,Intel® Core™ i5-6300HQ Processor,45.0,45.0,False,4,4,False
intel core i5-6300u,intel core i5-6300u,Intel® Core™ i5-6300U Processor,15.0,15.0,False,2,2,False
intel core i5-6350hq,intel core i5-6350hq,Intel® Core™ i5-6350HQ Processor,45.0,45.0,False,4,4,False
intel core i5-6360u,intel core i5-6360u,Intel® Core™ i5-6360U Processor,15.0,15.0,False,2,2,False
intel core i5-6400,intel core i5-6400,Intel® Core™ i5-6400 Processor,65.0,65.0,False,4,4,False
intel core i5-6400t,intel core i5-6400t,Intel® Core™ i5-6400T Processor,35.0,35.0,False,4,4,False
intel core i5-6402p,intel core i5-6402p,Intel® Core™ i5-6402P Processor,65.0,65.0,False,4,4,False
intel core i5-6440eq,intel core i5-6440eq,Intel® Core™ i5-6440EQ Processor,45.0,45.0,False,4,4,False
intel core i5-6440hq,intel core i5-6440hq,Intel® Core™ i5-6440HQ Processor,45.0,45.0,False,4,4,False
intel core i5-6442eq,intel core i5-6442eq,Intel® Core™ i5-6442EQ Processor,25.0,25.0,False,4,4,False
intel core i5-6500,intel core i5-6500,Intel® Core™ i5-6500 Processor,65.0,65.0,False,4,4,False
intel core i5-6500t,intel core i5-6500t,Intel® Core™ i5-6500T Processor,35.0,35.0,False,4,4,False
intel core i5-6500te,intel core i5-6500te,Intel® Core™ i5-6500TE Processor,35.0,35.0,False,4,4,False
intel core i5-6585r,intel core i5-6585r,Intel® Core™ i5-6585R Processor,65.0,65.0,False,4,4,False
intel core i5-6600,intel core i5-6600,Intel® Core™ i5-6600 Processor,65.0,65.0,False,4,4,False
intel core i5-6600k,intel core i5-6600k,Intel® Core™ i5-6600K Processor,91.0,91.0,False,4,4,False
